id,Movie Name,Release Date,Production Budget (USD),Domestic Gross (USD),Worldwide Gross (USD),Domestic Box Office (USD),International Box Office (USD),Worldwide Box Office (USD),Est. Domestic DVD Sales (USD),Est. Domestic Blu-ray Sales (USD),Total Est. Domestic Video Sales (USD),Opening Weekend (USD),Legs,Infl. Adj. Dom. BO (USD),Video Release,MPAA Rating,Running Time (minutes),Franchise,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Domestic Releases,International Releases,Theater counts,Domestic Share Percentage,Movie URL
193,Beauty and the Beast,2017-03-16,160000000,504014165,1268697483,504014165,764683318,1268697483,29035676,59982623,89018299,174750616,2.88,605716019,2017-06-06,PG,123,,"Hostage,Romance,Interspecies Romance,Royalty,Curses,Animated Inanimate Objects,Live Action Cartoon,Witches,Remake,Prologue,Death of a Spouse or Fiancée / Fiancé,Young Child Dealing with the Death of a Parent,Unrequited Love,Non-Chronological,Voiceover/Narration,Bubonic Plague / Black Death,Filmed in Shepperton Studios, Surrey, England,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Surrey, England,Filmed in England,Filmed in United Kingdom,Family Musical",Remake,Musical,"Animation,Live Action",Fantasy,"Walt Disney Pictures,Mandeville Films",United States,English,"March 17th, 2017 (Wide) byWalt DisneyMarch 17th, 2017 (IMAX) byWalt Disney","March 16th, 2017 (Wide), released asКрасавицата и звяра(Bulgaria)March 16th, 2017 (Wide) (China)March 16th, 2017 (Wide) (South Korea)March 16th, 2017 (Wide) (United Kingdom)March 17th, 2017 (Wide) (Brazil)... Show all releases","4,210 opening theaters/4,210 max. theaters, 8.5 weeks average run per theater",39.7,https://www.the-numbers.com/movie/Beauty-and-the-Beast-(2017)#tab=summary
194,Spider-Man: Far From Home,2019-06-27,160000000,391362492,1132298674,391362492,740936182,1132298674,21566898,49888545,71455443,92579212,4.23,460430390,2019-09-17,PG-13,129,Spider-ManMarvel Cinematic Universe,"Filmed in Carlo IV Hotel, Prague, Czech Republic,Marvel Comics,Set in Prague,Vacation,Surprise Twist,Set in Venice, Italy,Sequels With Returning Stars,Set in Berlin,Faked Death,Friendly Alien on Earth,False Identity,Gratuitous Cameos,Shapeshifter,Scene in End Credits,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Hatfield House, Hertfordshire, England,Filmed in Hertfordshire, England,Filmed in England,Filmed in Leavesden Studios, Hertfordshire, England,Filmed in Stansted Airport, Essex, England,Filmed in Essex, England,Filmed in United Kingdom,Filmed in Holland Park School, London, England,Filmed in Alexandra Palace Theatre, London, England,Filmed in London, England,Filmed in St Pancras International Railway Station, London, England,Filmed in Tower Bridge, London, England,Filmed in The Shard, London, England,Filmed in The Tower of London, London, England,Filmed in Charles Bridge, Prague, Czech Republic,Filmed in The Vinohrady Theatre, Prague, Czech Republic,Filmed in Hlavni-Nadrazi station, Prague, Czech Republic,Filmed in Náměstí Dr E Beneše Square, Liberac, Czech Republic,Filmed in Prague, Czech Republic,Filmed in Liberac, Czech Republic,Filmed in Czech Republic,Filmed in Marco Polo International Airport, Venice, Italy,Filmed in Venice, Italy,Filmed in Italy,Filmed in Basilica di Santa Maria della Salute, Venice, Italy,Filmed in Rialto Bridge, Venice, Italy,Filmed in Santa Maria Formosa, Venice, Italy,Filmed in Leonardo Da Vinci Museum, Venice, Italy,Filmed in Porta Magna, Venice, Italy,Filmed in Belchite Old Town, Spain,Filmed in Belchite, Spain,Filmed in Spain,Filmed in Madison Square Garden, New York, NY,Filmed in New York, NY,Filmed in New York, United States,Filmed in United States,Filmed in Penn Station, New York, NY,Filmed in Newark Liberty International Airport, Newark, NJ,Filmed in Essex County, NJ,Filmed in New Jersey, United States,Filmed in Queens, New York, NY,Filmed in Brooklyn, New York, NY,Filmed in Broadway, New York, NY,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Columbia Pictures,Marvel Studios,Pascal Pictures",United States,English,"July 2nd, 2019 (Wide) bySony PicturesJuly 2nd, 2019 (IMAX) bySony PicturesAugust 29th, 2019 (Wide) bySony Pictures, released asSpider-Man: Far From Home Extended CutAugust 29th, 2019 (IMAX) bySony Pictures, released asSpider Man: Far From Home Extended Cut(Re-Release)","June 27th, 2019 (Wide) (China)June 28th, 2019 (Wide), released asSpider-man: Far From Home(Australia)June 28th, 2019 (Wide) (Hong Kong)June 28th, 2019 (Wide) (Japan)July 1st, 2019 (Wide) (South Korea)... Show all releases","4,634 opening theaters/4,634 max. theaters, 7.2 weeks average run per theater",34.6,https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary
195,Aquaman,2018-12-06,160000000,335061807,1131849702,335061807,796787895,1131849702,29074082,43382929,72457011,67873522,4.94,395605216,2019-03-05,PG-13,143,DC Extended UniverseAquaman,"3-D,D.C. Comics,Underwater,Dysfunctional Family,Sibling Rivalry,Treasure Hunters,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Comic/Graphic Novel,Action,"Animation,Live Action",Super Hero,"Warner Bros.,DC Films,RatPac Entertainment,The Safran Company,Cruel and Unusual Films,Mad Ghost Productions",United States,English,"December 21st, 2018 (Wide) byWarner Bros.December 21st, 2018 (IMAX) byWarner Bros.","December 6th, 2018 (Wide) (China)December 12th, 2018 (Wide) (Indonesia)December 12th, 2018 (Wide) (Philippines)December 12th, 2018 (Wide) (Taiwan)December 12th, 2018 (Wide) (United Kingdom)... Show all releases","4,125 opening theaters/4,184 max. theaters, 7.5 weeks average run per theater",29.6,https://www.the-numbers.com/movie/Aquaman-(2018)#tab=summary
196,Shrek the Third,2007-05-17,160000000,322719944,807330936,322719944,484610992,807330936,179054121,33467,179087588,121629270,2.65,505657115,2007-11-13,PG,92,Shrek,"Royalty,Talking Animals,Baby Shower,Military Coup,Homeless,Betrayal,High School,Dragon,3-D,3-D - Post-production Conversion,Family Adventure",Based on Fiction Book/Short Story,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,PDI",United States,English,"May 17th, 2007 (Wide) byParamount Pictures","June 7th, 2007 (Wide) (New Zealand)October 24th, 2024 (Limited) (New Zealand)","4,122 opening theaters/4,172 max. theaters, 6.7 weeks average run per theater",40,https://www.the-numbers.com/movie/Shrek-the-Third#tab=summary
197,Inception,2010-07-16,160000000,293662683,826873382,293662683,533210699,826873382,90809548,76649138,167458686,62785337,4.68,399851674,2010-12-07,PG-13,147,,"Visual Effects,Dream Sequence,IMAX: DMR,Shared Dreams,2011 Oscars Best Picture Nominee,Psychological Thriller,Filmed in Commodore Schuyler F. Heim Bridge, Long Beach, CA,Filmed in Long Beach, CA,Filmed in Los Angeles County, CA,Filmed in California, United States,Filmed in United States",Original Screenplay,Thriller/Suspense,"Animation,Live Action",Science Fiction,"Warner Bros.,Legendary Pictures,Syncopy","United Kingdom,United States","English,French,Japanese","July 16th, 2010 (Wide) byWarner Bros.July 16th, 2010 (IMAX) byWarner Bros.August 21st, 2020 (Limited) byWarner Bros.","July 21st, 2010 (Wide), released asInception (인셉션)(South Korea)July 22nd, 2010 (Wide) (Australia)July 22nd, 2010 (Wide) (New Zealand)July 22nd, 2010 (Wide), released asНачало(Russia (CIS))July 23rd, 2010 (Wide) (Japan)... Show all releases","3,792 opening theaters/3,792 max. theaters, 8.2 weeks average run per theater",35.5,https://www.the-numbers.com/movie/Inception#tab=summary
198,The Hunger Games: Mockingjay - Part 2,2015-11-18,160000000,281723902,646219954,281723902,364496052,646219954,23875470,31376195,55251665,102665981,2.74,360013839,2016-03-08,PG-13,136,Hunger Games,"Revolution,Dystopia,Post Apocalypse,Young Adult Book Adaptation,Posthumous Release,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,"Lionsgate,Color Force",United States,English,"November 20th, 2015 (Wide) byLionsgateNovember 20th, 2015 (IMAX) byLionsgate","November 18th, 2015 (Wide) (Belgium)November 18th, 2015 (Wide) (Brazil)November 18th, 2015 (Wide) (Denmark)November 18th, 2015 (Wide) (France)November 18th, 2015 (Wide) (Netherlands)... Show all releases","4,175 opening theaters/4,175 max. theaters, 6.1 weeks average run per theater",43.6,https://www.the-numbers.com/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary
199,Fast and Furious 6,2013-05-17,160000000,238679850,789300444,238679850,550620594,789300444,56518952,75606925,132125877,97375245,2.45,316478324,2013-12-10,PG-13,130,Fast and the Furious,"Car Chase,Gangs,Organized Crime,Sequels With Returning Stars,Prequel,Inbetwequel,Archival Footage of Previous Installment,Faulty Memory,Intertitle,Voiceover/Narration,Corrupt Cops,Cliffhanger Ending,Scene in End Credits,IMAX: DMR,Action Thriller",Based on Factual Book/Article,Action,Live Action,Contemporary Fiction,"Universal Pictures,Relativity Media,Original Film,One Race Films",United States,English,"May 24th, 2013 (Wide) byUniversal","May 17th, 2013 (Wide) (United Kingdom)June 6th, 2013 (Wide) (Australia)May 27th, 2021 (Wide) (New Zealand)May 11th, 2023 (Limited) (Australia)","3,658 opening theaters/3,771 max. theaters, 5.5 weeks average run per theater",30.2,https://www.the-numbers.com/movie/Fast-and-Furious-6#tab=summary
200,Godzilla,2014-05-14,160000000,200676069,529076069,200676069,328400000,529076069,17787732,27382049,45169781,93188384,2.15,264784332,2014-09-16,PG-13,123,GodzillaMonsterVerse,"3-D,Reboot,Foreign-Language Remake,Development Hell,Kaiju,3-D - Shot in 3-D,Visual Effects,Motion Capture Performance,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,Legendary Pictures,United States,English,"May 16th, 2014 (Wide) byWarner Bros.May 16th, 2014 (IMAX) byWarner Bros.","May 14th, 2014 (Wide) (Belgium)May 14th, 2014 (Wide) (Egypt)May 15th, 2014 (Wide) (Argentina)May 15th, 2014 (Wide) (Chile)May 15th, 2014 (Wide) (Germany)... Show all releases","3,952 opening theaters/3,952 max. theaters, 5.2 weeks average run per theater",37.9,https://www.the-numbers.com/movie/Godzilla-(2014)#tab=summary
202,X-Men: First Class,2011-06-03,160000000,146408305,355408305,146408305,209000000,355408305,29560889,32646536,62207425,55101604,2.66,199026677,2011-09-09,PG-13,132,X-Men,"Mutants,Boarding School,New Guy/Girl in School,Prequel,Ensemble,Gratuitous Cameos,Marvel Comics,Political,LGBTQ+,Religious,Non-Chronological,Nazis,Terrorism,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Marvel Studios,Dune Entertainment,Bad Hat Harry Productions,Donners’ Company,Ingenious Media,Big Screen Prods","United Kingdom,United States",English,"June 3rd, 2011 (Wide) by20th Century Fox",,"3,641 opening theaters/3,692 max. theaters, 4.8 weeks average run per theater",41.2,https://www.the-numbers.com/movie/X-Men-First-Class#tab=summary
203,The Curious Case of Benjamin Button,2008-12-25,160000000,127509326,329631958,127509326,202122632,329631958,45170554,1689355,46859909,26853816,4.75,188353130,2009-05-05,PG-13,167,,"Supernatural,Romantic Drama,2009 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"Paramount Pictures,The Kennedy/Marshall Company",United States,English,"December 25th, 2008 (Wide) byParamount Pictures","February 12th, 2009 (Wide) (South Korea)","2,988 opening theaters/2,988 max. theaters, 7.0 weeks average run per theater",38.7,https://www.the-numbers.com/movie/Curious-Case-of-Benjamin-Button-The#tab=summary
204,The Sorcerer's Apprentice,2010-07-14,160000000,63150991,217986320,63150991,154835329,217986320,26534645,12418420,38953065,17619622,3.58,86282333,2010-11-30,PG,108,,"Family Adventure,Secret Magic,Live Action Cartoon,Scene in End Credits,Prologue,Set in New York City,Set in New York,Medieval,2000s",Based on Short Film,Adventure,"Animation,Live Action",Fantasy,"Walt Disney Pictures,Jerry Bruckheimer,Saturn Films,Broken Road",United States,English,"July 14th, 2010 (Wide) byWalt Disney",,"3,504 opening theaters/3,504 max. theaters, 4.2 weeks average run per theater",29,https://www.the-numbers.com/movie/Sorcerers-Apprentice-The#tab=summary
206,Warcraft,2016-05-25,160000000,47365290,438899824,47365290,391534534,438899824,4952823,12513015,17465838,24166110,1.96,59028650,2016-09-13,PG-13,123,,"Sword & Sorcerer,Invented Language,Visual Effects,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Based on Game,Action,Live Action,Fantasy,"Universal Pictures,Legendary Pictures,Blizzard Entertainment,Atlas Entertainment",United States,English,"June 10th, 2016 (Wide) byUniversalJune 10th, 2016 (IMAX) byUniversal","May 25th, 2016 (Wide) (France)May 25th, 2016 (Wide) (Philippines)May 25th, 2016 (Wide) (Switzerland)May 26th, 2016 (Wide) (Denmark)May 26th, 2016 (Wide) (Germany)... Show all releases","3,400 opening theaters/3,406 max. theaters, 2.8 weeks average run per theater",10.8,https://www.the-numbers.com/movie/Warcraft#tab=summary
208,Haunted Mansion,2023-07-26,157750000,67653287,114797989,67653287,47144702,114797989,770884,947022,1717906,24082475,2.81,67653287,2023-10-03,PG-13,123,,"Reboot,Development Hell,Horror Comedy,Haunted House,Remake,Haunting,Friendly Ghost,Supernatural",Based on Theme Park Ride,Comedy,Live Action,Contemporary Fiction,"Walt Disney Pictures,Rideback",United States,English,"July 28th, 2023 (Wide) byWalt Disney","July 26th, 2023 (Wide) (Belgium)July 26th, 2023 (Wide), released asLe Manoir hanté et les 999 Fantômes(France)July 26th, 2023 (Wide) (Indonesia)July 26th, 2023 (Wide) (Netherlands)July 26th, 2023 (Wide) (Philippines)... Show all releases","3,740 opening theaters/3,740 max. theaters, 4.8 weeks average run per theater",58.9,https://www.the-numbers.com/movie/Haunted-Mansion-(2023)#tab=summary
209,Deepwater Horizon,2016-09-29,156000000,61433527,122333118,61433527,60899591,122333118,8419733,7521871,15941604,20223544,3.04,76561080,2016-12-20,PG-13,107,,"Disaster,Environment,Corporate Malfeasance,2010s,IMAX: DMR,Action Thriller",Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Participant Media,di Bonaventura Pictures,Summit Entertainment,Closest to the Hole,Leverage",United States,English,"September 30th, 2016 (Wide) byLionsgateSeptember 30th, 2016 (IMAX) byLionsgate","September 29th, 2016 (Wide) (Netherlands)September 30th, 2016 (Wide) (Argentina)September 30th, 2016 (Wide), released asDeepwater Horizon: Море в пламъци(Bulgaria)September 30th, 2016 (Wide), released asDeepwater Horizon: Moře v plamenech(Czech Republic)September 30th, 2016 (Wide), released asLiepsnojantis horizontas(Lithuania)... Show all releases","3,259 opening theaters/3,403 max. theaters, 4.9 weeks average run per theater",50.2,https://www.the-numbers.com/movie/Deepwater-Horizon#tab=summary
211,The Chronicles of Narnia: The Voyage of the Daw…,2010-12-10,155000000,104386950,418186950,104386950,313800000,418186950,34625611,11497883,46123494,24005069,4.35,142502135,2011-04-08,PG,115,Chronicles of Narnia,"3-D,Prince/Princess,Dragon,Rescue,Talking Animals,Sword and Sandal,Gratuitous Cameos,Coming of Age,Dysfunctional Family,Voiceover/Narration,3-D - Post-production Conversion,Family Adventure",Based on Fiction Book/Short Story,Adventure,"Animation,Live Action",Fantasy,"Walden Media,Fox 2000 Pictures","United Kingdom,United States",English,"December 10th, 2010 (Wide) by20th Century Fox",,"3,555 opening theaters/3,555 max. theaters, 6.1 weeks average run per theater",25,https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary
212,Godzilla vs. Kong,2021-03-25,155000000,100916094,470116094,100916094,369200000,470116094,13340330,22933626,36273956,32200000,3.13,106969078,2021-03-31,PG-13,113,GodzillaKing KongMonsterVerse,"3-D,3-D - Post-production Conversion,IMAX: DMR,Disrupted by 2020 COVID-19 pandemic,Kaiju,Creature Feature,Secret Societies,Deaf,Mute,Sign Language,Enemies Forced to Work Together,Robot,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,"Warner Bros.,Legendary Pictures",United States,English,"March 31st, 2021 (Wide) byWarner Bros.March 31st, 2021 (IMAX) byWarner Bros.","March 25th, 2021 (Wide) (Australia)March 25th, 2021 (IMAX) (Australia)March 25th, 2021 (Wide) (Mexico)March 25th, 2021 (Wide) (New Zealand)March 26th, 2021 (Wide) (Brazil)... Show all releases","3,064 opening theaters/3,084 max. theaters, 9.2 weeks average run per theater",21.5,https://www.the-numbers.com/movie/Godzilla-vs-Kong-(2020)#tab=summary
213,Terminator: Genisys,2015-06-24,155000000,89760956,432150894,89760956,342389938,432150894,9092269,17603060,26695329,27018486,3.32,114783284,2015-10-20,PG-13,126,Terminator,"War,End of the World,Post Apocalypse,Robot,Artificial Intelligence,Time Travel,Same Role, Multiple Actors,Same Actor, Multiple Roles,Reboot,Visual Effects,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,"Skydance Productions,Paramount Pictures",United States,English,"July 1st, 2015 (Wide) byParamount PicturesJuly 1st, 2015 (IMAX) byParamount Pictures","June 24th, 2015 (Wide) (Indonesia)June 25th, 2015 (Wide) (Greece)June 25th, 2015 (Wide) (Sweden)June 26th, 2015 (Wide) (Colombia)June 26th, 2015 (Wide) (Finland)... Show all releases","3,758 opening theaters/3,783 max. theaters, 3.7 weeks average run per theater",20.8,https://www.the-numbers.com/movie/Terminator-Genisys#tab=summary
214,Pacific Rim: Uprising,2018-03-16,155000000,59874525,290930148,59874525,231055623,290930148,5501205,11181002,16682207,28116535,2.13,70850429,2018-06-19,PG-13,111,Pacific Rim,"Mecha,Kaiju,3-D,Ensemble,Father’s Footsteps,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,"Legendary Pictures,UpperRoom Entertainment Limited,Double Dare You,Universal Pictures",United States,English,"March 23rd, 2018 (Wide) byUniversalMarch 23rd, 2018 (IMAX) byUniversal","March 16th, 2018 (Wide) (South Korea)March 21st, 2018 (Wide) (Belgium)March 21st, 2018 (Wide) (Egypt)March 21st, 2018 (Wide) (France)March 21st, 2018 (Wide) (Indonesia)... Show all releases","3,708 opening theaters/3,708 max. theaters, 3.4 weeks average run per theater",20.6,https://www.the-numbers.com/movie/Pacific-Rim-Uprising#tab=summary
216,War for the Planet of the Apes,2017-07-14,152000000,146880162,489592267,146880162,342712105,489592267,7848369,14740735,22589104,56262929,2.61,176518188,2017-10-24,PG-13,142,Planet of the Apes,"Animal Lead,Talking Animals,War,Post Apocalypse,3-D,3-D - Shot in 3-D,Motion Capture Performance,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,"Animation,Live Action",Science Fiction,"20th Century Fox,Chernin Entertainment",United States,English,"July 14th, 2017 (Wide) by20th Century Fox","July 14th, 2017 (Wide), released asВойната за планетата на маймуните(Bulgaria)July 14th, 2017 (Wide), released asVálka o planetu opic(Czech Republic)July 14th, 2017 (Wide) (Hong Kong)July 14th, 2017 (Wide) (India)July 14th, 2017 (Wide) (Italy)... Show all releases","4,022 opening theaters/4,100 max. theaters, 5.4 weeks average run per theater",30,https://www.the-numbers.com/movie/War-for-the-Planet-of-the-Apes#tab=summary
218,Barbie,2023-07-19,151000000,636785476,1447585476,636785476,810800000,1447585476,1361240,2951677,4312917,162022044,3.93,636785477,2023-09-12,PG-13,114,Barbie,"Satirical Comedy,Satire,F-Rated,Exile,Romance,2024 Oscars Best Picture Nominee",Based on Toy,Comedy,Live Action,Contemporary Fiction,"LuckyChap Entertainment,Mattel Entertainment,Parkes+Macdonald Productions,Playground Productions,Warner Bros.,Heyday Films",United States,English,"July 21st, 2023 (Wide) byWarner Bros.September 22nd, 2023 (IMAX) byWarner Bros.","July 19th, 2023 (Wide) (France)July 19th, 2023 (Wide) (Netherlands)July 19th, 2023 (Wide), released asBarbie (바비)(South Korea)July 20th, 2023 (Wide) (Argentina)July 20th, 2023 (Wide) (Australia)... Show all releases","4,243 opening theaters/4,337 max. theaters, 9.5 weeks average run per theater",44,https://www.the-numbers.com/movie/Barbie-(2023)#tab=summary
219,Transformers,2007-06-28,151000000,319246193,708272592,319246193,389026399,708272592,295604302,8123249,303727551,70502384,4.53,500214228,2007-10-16,PG-13,142,Transformers,"Alien Invasion,Robot,Friendly Alien on Earth,End of the World,IMAX: DMR,Action Adventure",Based on TV,Action,"Animation,Live Action",Science Fiction,"DreamWorks Pictures,Paramount Pictures,Hasbro Studios,di Bonaventura Pictures",United States,English,"July 2nd, 2007 (Wide) byParamount PicturesSeptember 21st, 2007 (IMAX) byParamount Pictures","June 28th, 2007 (Wide), released asTransformers (트랜스포머)(South Korea)May 25th, 2023 (Limited), released asTransformers (트랜스포머)(South Korea)","4,011 opening theaters/4,050 max. theaters, 6.4 weeks average run per theater",45.1,https://www.the-numbers.com/movie/Transformers#tab=summary
220,Frozen II,2019-11-20,150000000,477373578,1451653316,477373578,974279738,1451653316,29336018,52142631,81478649,130263358,3.66,561730837,2020-02-11,PG,103,Frozen,"Prince/Princess,3-D,Royalty,Romance,Trapped,3-D - Shot in 3-D,IMAX: DMR,Filmed in Walt Disney Animation Studios Burbank CA,Filmed in Burbank, CA,Filmed in California, United States,Filmed in United States,Filmed in Los Angeles County, CA,Family Musical,Musical-Adventure",Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 22nd, 2019 (IMAX) byWalt DisneyNovember 22nd, 2019 (Wide) byWalt DisneyJanuary 17th, 2020 (Limited) byWalt Disney, released asFrozen II: Sing Along","November 20th, 2019 (Wide) (Belgium)November 20th, 2019 (Wide) (France)November 20th, 2019 (Wide) (Germany)November 20th, 2019 (Wide) (Indonesia)November 20th, 2019 (Wide), released asFrozen 2(Netherlands)... Show all releases","4,440 opening theaters/4,440 max. theaters, 8.6 weeks average run per theater",32.9,https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
222,Wonder Woman,2017-05-29,150000000,412563408,817691766,412563408,405128358,817691766,25947796,72886279,98834075,103251471,4,495811989,2017-08-29,PG-13,141,DC Extended UniverseWonder Woman,"D.C. Comics,War,World War I,Gods and Goddesses,Origin Story,Marooned,Greek Mythology,1910s,Secret Agent,Development Hell,Prologue,Voiceover/Narration,Non-Chronological,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Leavesden Studios, Hertfordshire, England,Filmed in Hertfordshire, England,Filmed in England,Filmed in United Kingdom,Filmed in Lower Halstow, Kent, England,Filmed in Kent, England,Filmed in Sassi di Matera, Italy,Filmed in Italy,Filmed in Castel del Monte, Italy,Filmed in Camerota, Italy,Filmed in Hatfield House, Hertfordshire, England,Filmed in Louvre Museum, Paris, France,Filmed in Paris, France,Filmed in France,Filmed in Cilentan Coast, Italy,Filmed in Australia House, London, England,Filmed in London, England,Filmed in British Museum, London, England,Filmed in Matera, Italy,Filmed in Villa Cimbrone, Italy,Filmed in Tilbury Fort, Essex, England,Filmed in Essex, England,Filmed in Lincoln’s Inn Fields, London, England,Filmed in Victoria House, London, England,Filmed in Sicilian Avenue, London, England,Filmed in One Great George Street, London, England,Filmed in Kings Cross Station, London, England,Filmed in Tilbury Docks, Essex, England,Filmed in Bourne Wood, Surrey, England,Filmed in Surrey, England,Filmed in West Sussex, England,Filmed in Arundel Castle, West Sussex, England,Filmed in Upper Heyford air base, Oxfordshire, England,Filmed in Oxfordshire, England,Filmed in Trafalgar Square, London, England,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Warner Bros.,Atlas Entertainment,Cruel and Unusual Films,RatPac Entertainment,Dune Entertainment,Tencent Pictures,Wanda Pictures,DC Films",United States,English,"June 2nd, 2017 (Wide) byWarner Bros.","May 29th, 2017 (Wide) (South Korea)May 30th, 2017 (Wide) (Hong Kong)May 30th, 2017 (Wide) (Taiwan)May 31st, 2017 (Wide) (China)June 1st, 2017 (Wide) (Italy)... Show all releases","4,165 opening theaters/4,165 max. theaters, 9.3 weeks average run per theater",50.5,https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary
223,Frozen,2013-11-22,150000000,400953009,1271023300,400953009,870070291,1271023300,253125424,163974026,417099450,243390,5.95,530936873,2014-02-25,PG,102,Frozen,"Sibling Rivalry,Romance,Love at First Sight,Royalty,Prince/Princess,Surprise Twist,3-D,3-D - Shot in 3-D,Filmed in Walt Disney Animation Studios Burbank CA,Filmed in Burbank, CA,Filmed in Los Angeles County, CA,Filmed in California, United States,Filmed in United States,Family Musical,Missing Person,Young Child Dealing with the Death of a Parent,Relationships Gone Wrong,Musical-Adventure",Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 22nd, 2013 (Limited) byWalt DisneyNovember 27th, 2013 (Expands Wide) byWalt DisneyNovember 25th, 2020 (Wide) byWalt Disney","November 27th, 2013 (Wide) (Philippines)November 28th, 2013 (Wide) (Austria)November 28th, 2013 (Wide) (Croatia)November 28th, 2013 (Wide) (Czech Republic)November 28th, 2013 (Wide) (Germany)... Show all releases","1 opening theaters/3,742 max. theaters, 13.5 weeks average run per theater",31.5,https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary
224,Zootopia,2016-02-10,150000000,341268248,1025485003,341268248,684216755,1025485003,57621663,54244925,111866588,75063401,4.55,425303081,2016-06-07,PG,108,Zootopia,"Beat Cops,Confidence Men,Talking Animals,Animal Lead,Missing Person,Bigotry,Government Corruption,Prologue,Bullies,Intertitle,3-D,3-D - Shot in 3-D,IMAX: DMR,Buddy Cop,Family Adventure",Original Screenplay,Adventure,Digital Animation,Kids Fiction,"Walt Disney Pictures,Walt Disney Animation Studios",United States,English,"March 4th, 2016 (Wide) byWalt Disney","February 10th, 2016 (Wide) (Belgium)February 12th, 2016 (Wide) (Denmark)February 12th, 2016 (Wide) (Spain)February 17th, 2016 (Wide) (France)February 17th, 2016 (Wide) (Indonesia)... Show all releases","3,827 opening theaters/3,959 max. theaters, 9.8 weeks average run per theater",33.3,https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary
225,Harry Potter and the Order of the Phoenix,2007-07-11,150000000,293108509,937970397,293108509,644861888,937970397,231487995,5291580,236779575,77108414,3.8,459024150,2007-12-11,PG-13,138,Harry Potter,"Boarding School,Good vs. Evil,3-D,IMAX: DMR,3-D - Post-production Conversion,Family Adventure",Based on Fiction Book/Short Story,Adventure,"Animation,Live Action",Fantasy,Heyday Films,"United Kingdom,United States",English,"July 11th, 2007 (Wide) byWarner Bros.July 11th, 2007 (IMAX) byWarner Bros.September 2nd, 2018 (Limited), released asHarry Potter and the Order of the Phoenix (2007) (Re-Release)","July 11th, 2007 (Wide) (Australia)July 11th, 2007 (Wide), released asHarry Potter en de orde van de Feniks(Netherlands)July 11th, 2007 (Wide) (New Zealand)July 12th, 2007 (Wide) (South Korea)July 12th, 2007 (Wide) (United Kingdom)... Show all releases","4,285 opening theaters/4,285 max. theaters, 6.1 weeks average run per theater",31.2,https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary
